en-CA,fr-CA
Sugar Packet,Wrap-éclair mayo avec poulet grillé
Sundae,Wrap-éclair mayo croustil
Sundaes & Cones,Wrap-éclair mayo grillé
Sunflower Seeds Pkt,Wrap-éclair poul ***
Sunflwr Seed Pkt,Wrap-éclair poulet croustillant ranch
Support CapitalCare Norwood,Wrap-éclair Ranch avec poulet grillé
Sweater Holiday Mug,Wrap-éclair Ranch croustil
Sweet 'N Sour Sauce,Wrap-éclair Ranch grillé
Sweet Chili Junior Chicken,Wraps
Sweet Chili Junior Chicken Extra Value Meal,Wraps-déjeuner et burritos
Sweet Chili McWrap,Yogourt
Sweet Chili McWrap Extra Value Meal,Yougurt
Sweet Chili McWrap with Crispy Chicken,
Sweet Chili McWrap with Crispy Chicken Extra Value Meal,
Sweet Chili McWrap with Grilled Chicken,
Sweet Chili McWrap with Grilled Chicken Extra Value Meal,
Sweet Chili Sauce,
Sweetened Cold Brew with Cream,
Sweetened Cold Brew with Oat Beverage,
Swiss Cheese,
Swiss Cheese Sauce,
Syrup Flavour,
Tabouleh Salad,
Tartar Sauce,
Tartar Sauce Dip,
Tea,
Tea Bag Out,
Teriyaki Salad ***,
Thai Sauce,
The Benny-Style Bacon 'N Egg Everything Bagel,
The Benny-Style Bacon 'N Egg Everything Bagel Meal,
The Benny-Style Bacon 'N Egg Multigrain Bagel,
The Benny-Style Bacon 'N Egg Multigrain Bagel Meal,
The Benny-Style Bacon 'N Egg Plain Bagel,
The Benny-Style Bacon 'N Egg Plain Bagel Meal,
The Benny-Style Bacon 'N Egg Sesame Bagel,
The Benny-Style Bacon 'N Egg Sesame Bagel Meal,
The Benny-Style Bacon ‘N Egg Everything Bagel,
The Benny-Style Bacon ‘N Egg Multigrain Bagel,
The Benny-Style Bacon ‘N Egg Plain Bagel,
The Benny-Style Bacon ‘N Egg Sesame Bagel,
Three Cheese Caesar,
Toasted Bagels & More,
Toasted S’mores Cookie,
Tom & Mozza Chkn ***,
Tom & Mozza Chkn EVM ***,
Tomato,
Tomato & Herb Sauce,
Toronto Mug,
Tortilla,
Tortilla Strips,
Toy Boy Meal,
Toy Meal,
TR McValeur Wrap-éclair poulet croust sauce Buffalo,
Trad Softserve,
Tricolour Mug,
Triple Thick Milkshake,
Triple Triple,
Trpl Trpl,
Turkey,
Turkey & Cheddar BLT Croissant,
Turkey & Cheddar BLT Croissant Sandwich,
Upsize Charge,
Utensils,
Utensils / No utensils,
Valentine GC,
Valentine Gift Cert,
Value Bundle Meal,
Value Bundle Meal (Serves 4),
VanChai Frappé w/ Whipped Cream & Choc Drizzle,
Vanilla Chai Frappé,
Vanilla Cone,
Vanilla Ice Milk,
Vanilla Iced Coffee,
Vanilla Triple Thick Milkshake,
Variable Gift Card,
Vegetables,
Veggie Patty,
Vinegar Packet,
Violet Holiday Tumblr,
Water,
Watermelon Lime Fruit Splash,
Watermelon Lime Syrup,
Weekday Paper,
Weekday Paper 2,
Weekday Paper 3,
Weekday Post,
Weekend Paper,
Weekend Paper 2,
Weekend Paper 3,
Weekend Post,
Wgrn Bagl w/ Spreads,
Wgrn Bagl w/ Spreads ***,
Whipped Cream,
Whipped Cream and Chocolate Dr,
Whipped Cream and Chocolate Drizzle,
White Cheddar Cheese,
White Chocolate McPops,
White Toast,
White Toast Special,
Who-Hash Bites,
Whole Grain Bagel Happy Meal,
World Famous Fries,
XL Bergamia Grey Tea,
XL Chai Glow Tea,
XL Coffee,
XL Coffee Refill,
XL Decaf Coffee,
XL Decaf Coffee Refill,
XL Earl Grey Tea,
XL Green Tea,
XL Lemongrass Green Tea,
XL Orange Pekoe Tea,
XL Peppermint Tea,
XL Premium Roast Coffee,
XL Premium Roast Decaf Coffee,
XL Roaring Black Tea,
XL Senior Orange Pekoe Tea,
XL Senior Peppermint Tea,
Yogurt,
Your donation helps families with sick children,
Zesty Lime McWrap,
Zesty Lime McWrap Extra Value Meal,
